snapshot,issue_id,reward,severity,effort_minutes,created_at
2020-08-01 00:00:00+00:00,AZUWLwxT36iphIe0EWVi,0.8666666666666667,INFO,2,2020-07-16 17:23:48
2020-09-01 00:00:00+00:00,AZOLYSVE2vcmJlCxpCeo,7.0,HIGH,15,2019-12-06 23:17:11
2020-09-01 00:00:00+00:00,AZBbMY5t-vc9aDr8e5tB,3.6666666666666665,MEDIUM,5,2020-08-26 22:24:27
2020-09-01 00:00:00+00:00,AXQiYmJQ6iFP2T2WHQP1,1.6666666666666667,LOW,5,2020-08-18 17:54:45
2020-09-01 00:00:00+00:00,AXQiYmJQ6iFP2T2WHQP2,1.6666666666666667,LOW,5,2020-08-18 17:54:45
2020-09-01 00:00:00+00:00,AZUWLyM336iphIe0EWXe,0.8666666666666667,INFO,2,2020-08-26 22:24:27
2020-10-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xG,7.75,HIGH,5,2017-06-28 16:52:27
2020-10-01 00:00:00+00:00,AXTgkz76XAp96TSnmR3O,1.75,LOW,5,2020-09-30 19:48:12
2020-10-01 00:00:00+00:00,AXTgAeFAlrCNccw21zVM,1.75,LOW,5,2020-09-30 17:09:20
2020-10-01 00:00:00+00:00,AXTgAeVMlrCNccw21zVO,1.75,LOW,5,2020-09-30 17:09:20
2020-10-01 00:00:00+00:00,AXTgAedSlrCNccw21zVP,1.75,LOW,5,2020-09-30 17:09:20
2020-11-01 00:00:00+00:00,AZBbMY2i-vc9aDr8e5s5,7.75,HIGH,5,2019-09-17 17:07:47
2020-11-01 00:00:00+00:00,AZBbMY7b-vc9aDr8e5tH,7.75,HIGH,5,2020-10-30 21:49:10
2020-11-01 00:00:00+00:00,AZBbMY7b-vc9aDr8e5tI,7.75,HIGH,5,2020-10-30 21:49:10
2020-11-01 00:00:00+00:00,AZBbMY1f-vc9aDr8e5s2,1.9,LOW,2,2020-10-30 21:49:10
2020-11-01 00:00:00+00:00,AZUWLw5a36iphIe0EWV_,0.9,INFO,2,2020-10-30 19:13:31
2020-12-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sm,7.75,HIGH,5,2018-09-24 18:30:54
2020-12-01 00:00:00+00:00,AZBbMbTW-vc9aDr8e5wg,7.75,HIGH,5,2020-11-11 17:34:15
2020-12-01 00:00:00+00:00,AZBbMbTW-vc9aDr8e5wh,7.75,HIGH,5,2020-11-11 17:34:15
2020-12-01 00:00:00+00:00,AZBbMXa3-vc9aDr8e5rR,1.9,LOW,2,2020-11-03 19:28:57
2020-12-01 00:00:00+00:00,AZBbMXa3-vc9aDr8e5rS,1.9,LOW,2,2020-11-03 19:28:57
2021-01-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xI,7.75,HIGH,5,2017-06-28 16:52:27
2021-01-01 00:00:00+00:00,AZBbMaml-vc9aDr8e5u4,7.75,HIGH,5,2020-12-30 20:14:13
2021-01-01 00:00:00+00:00,AZBbMaml-vc9aDr8e5u5,7.75,HIGH,5,2020-12-30 20:14:13
