time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range
10240,5,274,4.73,37,19.89199995,0.0003,40,59.14660563468933,4.547834396362305e-05,0.432958984375,-4.564886263012886,-0.046626692201243713,0.019231012,27.03278350830078,0.2
12288,6,288,4.89,42,23.73533329,0.0003,50,64.20273262262344,5.543231964111328e-05,0.4197265625,-4.419993618130684,-0.04309107264707564,0.020542655,34.127872467041016,0.2
14336,7,270,4.77,52,24.96599999,0.0003,60,73.11511603593826,0.0009999275207519531,0.348388671875,-4.264719922840595,-0.04528526126523502,0.019194163,36.95753860473633,0.2
16384,8,281,4.76,58,24.511999929999998,0.0003,70,82.84794335365295,0.04533743858337402,0.045263671875,-4.186160342395306,-0.023918047040933744,0.00914491,35.974090576171875,0.2
2048,1,816,4.97,2,11.65399994,0.0003,80,70.96906847953797,0.1586456298828125,0.006298828125,-4.109161856770515,-0.013881514554668684,0.0043212753,23.60407829284668,0.2
4096,2,521,4.84,7,14.12933325,0.0003,10,23.19916471838951,-0.00014519691467285156,0.428466796875,-4.991585454344749,-0.061408651465899314,0.039011836,11.978851318359375,0.2
6144,3,319,4.8,19,16.91333327,0.0003,20,36.1592771589756,0.00025534629821777344,0.468603515625,-4.89086354970932,-0.0616915472142864,0.027915312,18.2115421295166,0.2
8192,4,320,4.83,25,19.99799993,0.0003,30,46.88376350402832,0.000618278980255127,0.447216796875,-4.788334545493126,-0.05230466384673491,0.021581925,21.016483306884766,0.2
10240,5,289,4.71,35,20.54666655,0.0003,40,60.68810156583786,8.463859558105469e-06,0.5025390625,-4.6604804545640945,-0.05432672708993778,0.023242414,31.349042892456055,0.2
12288,6,267,4.88,45,23.288666640000006,0.0003,50,66.47078847885132,0.00034296512603759766,0.411181640625,-4.52601979970932,-0.04870910798344994,0.017913967,34.80881881713867,0.2
14336,7,279,4.8,51,25.059333199999998,0.0003,60,75.0810574054718,0.01610696315765381,0.2392578125,-4.413270150125027,-0.044277075462741775,0.016825818,30.388673782348633,0.2
16384,8,266,4.79,61,25.966666580000002,0.0003,70,78.97567028999329,0.04181647300720215,0.023828125,-4.321624042093754,-0.020218006516370225,0.007807836,37.78677749633789,0.2
2048,1,869,4.95,2,13.701999920000002,0.0003,80,77.18579143285751,0.11688405275344849,0.0453125,-4.223694114387035,-0.019895095865649637,0.008629887,38.144805908203125,0.2
4096,2,293,4.95,13,16.684666580000002,0.0003,10,29.576698061823844,4.124641418457031e-05,0.490283203125,-5.059238152205944,-0.06922777184227016,0.031580683,14.367650032043457,0.2
6144,3,316,4.95,19,18.329999899999997,0.0003,20,42.604193705320355,2.9146671295166016e-05,0.52802734375,-4.9824477404356005,-0.06989259099646006,0.025682695,24.166959762573242,0.2
8192,4,265,4.92,30,21.85599991,0.0003,30,52.89807564020157,3.7550926208496094e-06,0.529638671875,-4.87684114575386,-0.06396590293152257,0.02414744,27.464162826538086,0.2
